Время бинарного: 12408; Время интерполяционного: 154; Размер массива: 3
Время бинарного: 94; Время интерполяционного: 275; Размер массива: 4. Бинарный лучше
Время бинарного: 68; Время интерполяционного: 94; Размер массива: 5. Бинарный лучше
Время бинарного: 53; Время интерполяционного: 62; Размер массива: 6. Бинарный лучше
Время бинарного: 68; Время интерполяционного: 50; Размер массива: 7
Время бинарного: 62; Время интерполяционного: 62; Размер массива: 8
Время бинарного: 65; Время интерполяционного: 53; Размер массива: 9
Время бинарного: 74; Время интерполяционного: 59; Размер массива: 10
Время бинарного: 68; Время интерполяционного: 77; Размер массива: 11. Бинарный лучше
Время бинарного: 62; Время интерполяционного: 71; Размер массива: 12. Бинарный лучше
Время бинарного: 183; Время интерполяционного: 65; Размер массива: 13
Время бинарного: 79; Время интерполяционного: 177; Размер массива: 14. Бинарный лучше
Время бинарного: 71; Время интерполяционного: 68; Размер массива: 15
Время бинарного: 91; Время интерполяционного: 56; Размер массива: 16
Время бинарного: 74; Время интерполяционного: 59; Размер массива: 17
Время бинарного: 68; Время интерполяционного: 65; Размер массива: 18
Время бинарного: 62; Время интерполяционного: 59; Размер массива: 19
Время бинарного: 56; Время интерполяционного: 56; Размер массива: 20
Время бинарного: 186; Время интерполяционного: 53; Размер массива: 21
Время бинарного: 74; Время интерполяционного: 56; Размер массива: 22
Время бинарного: 68; Время интерполяционного: 59; Размер массива: 23
Время бинарного: 65; Время интерполяционного: 59; Размер массива: 24
Время бинарного: 59; Время интерполяционного: 65; Размер массива: 25. Бинарный лучше
Время бинарного: 65; Время интерполяционного: 56; Размер массива: 26
Время бинарного: 68; Время интерполяционного: 65; Размер массива: 27
Время бинарного: 59; Время интерполяционного: 56; Размер массива: 28
Время бинарного: 59; Время интерполяционного: 65; Размер массива: 29. Бинарный лучше
Время бинарного: 59; Время интерполяционного: 62; Размер массива: 30. Бинарный лучше
Время бинарного: 59; Время интерполяционного: 62; Размер массива: 31. Бинарный лучше
Время бинарного: 65; Время интерполяционного: 68; Размер массива: 32. Бинарный лучше
Время бинарного: 1623; Время интерполяционного: 56; Размер массива: 33
Время бинарного: 50; Время интерполяционного: 59; Размер массива: 34. Бинарный лучше
Время бинарного: 50; Время интерполяционного: 59; Размер массива: 35. Бинарный лучше
Время бинарного: 47; Время интерполяционного: 68; Размер массива: 36. Бинарный лучше
Время бинарного: 82; Время интерполяционного: 59; Размер массива: 37
Время бинарного: 53; Время интерполяционного: 56; Размер массива: 38. Бинарный лучше
Время бинарного: 56; Время интерполяционного: 438; Размер массива: 39. Бинарный лучше
Время бинарного: 53; Время интерполяционного: 59; Размер массива: 40. Бинарный лучше
Время бинарного: 44; Время интерполяционного: 56; Размер массива: 41. Бинарный лучше
Время бинарного: 53; Время интерполяционного: 41; Размер массива: 42
Время бинарного: 56; Время интерполяционного: 56; Размер массива: 43
Время бинарного: 50; Время интерполяционного: 71; Размер массива: 44. Бинарный лучше
Время бинарного: 59; Время интерполяционного: 59; Размер массива: 45
Время бинарного: 53; Время интерполяционного: 65; Размер массива: 46. Бинарный лучше
Время бинарного: 50; Время интерполяционного: 50; Размер массива: 47
Время бинарного: 53; Время интерполяционного: 68; Размер массива: 48. Бинарный лучше
Время бинарного: 44; Время интерполяционного: 62; Размер массива: 49. Бинарный лучше
Время бинарного: 62; Время интерполяционного: 56; Размер массива: 50
Время бинарного: 53; Время интерполяционного: 59; Размер массива: 51. Бинарный лучше
Время бинарного: 56; Время интерполяционного: 62; Размер массива: 52. Бинарный лучше
Время бинарного: 56; Время интерполяционного: 50; Размер массива: 53
Время бинарного: 50; Время интерполяционного: 65; Размер массива: 54. Бинарный лучше
Время бинарного: 157; Время интерполяционного: 56; Размер массива: 55
Время бинарного: 50; Время интерполяционного: 62; Размер массива: 56. Бинарный лучше
